qnum,run,language,translated_q,response,score
1,4,Portuguese,"Se listarmos todos os números naturais abaixo de 10 que são múltiplos de 3 ou 5, obtemos 3, 5, 6 e 9. A soma desses múltiplos é 23.
Encontre a soma de todos os múltiplos de 3 ou 5 abaixo de 1000.
Especifique apenas a resposta numérica no final seguida pelo símbolo `∴`.",233168∴,pass
1,0,Portuguese,"Se listarmos todos os números naturais abaixo de 10 que são múltiplos de 3 ou 5, obtemos 3, 5, 6 e 9. A soma desses múltiplos é 23.
Encontre a soma de todos os múltiplos de 3 ou 5 abaixo de 1000.

Especifique apenas a resposta numérica no final seguida pelo símbolo `∴`.",233168∴,pass
1,4,Urdu,"اگر ہم 10 سے نیچے تمام قدرتی اعداد کی فہرست بناتے ہیں جو 3 یا 5 کے مضرب ہیں، تو ہمیں 3، 5، 6 اور 9 ملتے ہیں۔ ان مضربوں کا مجموعہ 23 ہوتا ہے۔
1000 سے نیچے 3 یا 5 کے تمام مضربوں کا مجموعہ تلاش کریں۔

صرف عددی جواب تلاش کریں اور اس کے آخر میں `∴` کی علامت لگائیں۔",∴ 233168,pass
1,3,Urdu,"اگر ہم 10 سے نیچے تمام قدرتی نمبروں کی فہرست تیار کریں جو 3 یا 5 کے گنا ہیں ، تو ہمیں 3 ، 5 ، 6 اور 9 ملتے ہیں۔ ان گنا کا مجموعہ 23 ہوتا ہے۔
1000 سے نیچے تمام 3 یا 5 کے گُنا کا مجموعہ تلاش کریں۔

∴ عدد جواب صرف شامل کریں۔",233168,pass
1,2,Urdu,"اگر ہم تمام قدرتی اعداد جو ١٠ سے نیچے ہیں اور ۳ یا ۵ کے نمونے ہیں وہ ۳، ۵، ۶ اور ٩ ہیں۔ ان نمونوں کا مجموعہ ۲۳ ہوتا ہے۔
١٠٠٠ کے نیچے تمام  نمونوں کا مجموعہ تلاش کریں جو ۳ یا ۵ ہیں۔

∴ عددی جواب درج کریں۔",234168,fail
1,1,Urdu,"اگر ہم 10 کے نیچے تمام قدرتی عداد میں سے وہ تمام نمبرس کی فہرست بایاں کریں جو 3 یا 5 کے گناتے ہیں تو ہمیں 3،5،6 اور 9 ملتے ہیں۔ ان گننے کا مجموعہ 23 ہوتا ہے۔
1000 کے نیچے 3 یا 5 کے تمام گناتے کا مجموعہ تلاش کریں۔

∴ صرف عددی جواب بتائیں۔",233168,pass
1,0,Urdu,"اگر ہم وہ تمام قدرتی اعداد درج کرتے ہیں جو 10 سے کم ہوتے ہیں اور 3 یا 5 کے تکمیلات ہوتے ہیں ، تو ہم کو 3, 5, 6 اور 9 ملتے ہیں۔ ان مضربوں کا مجموعہ 23 ہوتا ہے۔
1000 سے کم 3 یا 5 کے تمام مضربوں کا مجموعہ تلاش کریں۔

∴ صرف عددی جواب کو ذیل میں بتائیں۔",233168,pass
1,4,Bengali,"আমরা যদি 10 এর নীচে সমস্ত প্রাকৃতিক সংখ্যাগুলি তালিকা করি যা 3 বা 5 এর গুণিতক, তাহলে আমরা পাবো 3, 5, 6 এবং 9। এই গুণিতকগুলির যোগফল হলো 23।
1000 এর নীচে সমস্ত 3 বা 5 এর গুণিতক এর যোগফল খুঁজুন।
শুধুমাত্র সংখ্যাটি উত্তর হিসেবে দিন, এর পরে `∴` চিহ্ন যোগ করুন।",233168 ∴,pass
1,3,Bengali,"যদি আমরা 10 এর নিচে সমস্ত প্রাকৃতিক সংখ্যা তালিকা করি যেগুলি 3 বা 5 এর গুণিতক, তাহলে আমরা পাব 3, 5, 6 এবং 9। এই গুণিতকগুলির যোগফল হয় 23।
1000 এর নিচে সমস্ত গুণিতকের যোগফল খুঁজুন যেগুলি 3 বা 5 এর।

সূত্রটি নির্দেশ করুন যে কেবল সাংখ্যিক উত্তরটি চিহ্নিত করুন `∴` সংকেতের পরে।",∴ 233168,pass
1,2,Bengali,"আমরা যদি 10 এর নীচে যে সমস্ত প্রাকৃতিক সংখ্যা তা তালিকা করি যা 3 অথবা 5 এর গুণিতক, তাহলে আমরা পাই 3, 5, 6 এবং 9। এই গুণিতকগুলির যোগফল হলো 23।

1000 এর নিচে যে সমস্ত সংখ্যা 3 অথবা 5 এর গুণিতক তার যোগফল খুঁজুন।

শুধুমাত্র সাংখ্যিক উত্তর নির্দিষ্ট করুন এবং শেষে `∴` চিহ্ন যুক্ত করুন।",∴ 233168,pass
